,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
24,Detroit,103.3,0.489,0.167,0.309,19.5,108.2,0.506,0.149,0.293,21.0,2013,Detroit 2013,0.489,0.515,0.584,0.352,0.359,0.356,0.359,0.368,0.366,83.9,0.312,0.79,20.2,19.5,100.0,3.6,0.151,121.5,2.1,0.658,136.9,1.6,0.298,114.5,0.44,0.178,0.19,0.367,0.056,0.137,0.193
25,New Orleans,105.2,0.492,0.164,0.319,19.1,110.7,0.523,0.148,0.284,21.0,2013,New Orleans 2013,0.492,0.503,0.578,0.384,0.397,0.391,0.385,0.369,0.372,84.7,0.329,0.822,24.2,20.0,117.9,3.4,0.108,131.2,1.5,0.457,144.4,1.9,0.223,126.1,0.381,0.211,0.206,0.416,0.038,0.165,0.203
26,Sacramento,105.6,0.493,0.154,0.293,20.9,111.3,0.519,0.156,0.313,23.1,2013,Sacramento 2013,0.493,0.507,0.592,0.385,0.36,0.372,0.386,0.367,0.372,86.1,0.289,0.781,20.3,19.0,103.2,4.4,0.155,128.5,2.3,0.684,136.1,2.2,0.305,124.3,0.38,0.195,0.205,0.399,0.063,0.158,0.221
27,Cleveland,103.7,0.474,0.153,0.313,20.0,109.7,0.525,0.164,0.298,22.7,2013,Cleveland 2013,0.474,0.5,0.56,0.357,0.412,0.385,0.349,0.356,0.355,84.6,0.322,0.812,18.5,17.2,105.2,2.7,0.128,117.7,1.8,0.567,134.5,1.0,0.246,108.3,0.361,0.217,0.216,0.433,0.048,0.159,0.206
28,Phoenix,101.2,0.48,0.165,0.298,17.5,107.8,0.513,0.161,0.301,20.8,2013,Phoenix 2013,0.48,0.494,0.616,0.352,0.4,0.381,0.367,0.325,0.337,83.2,0.297,0.798,17.0,17.3,95.4,3.4,0.14,123.2,1.9,0.598,135.9,1.5,0.275,116.3,0.34,0.188,0.282,0.469,0.056,0.135,0.191
29,Orlando,101.4,0.486,0.156,0.28,14.7,109.8,0.51,0.133,0.284,19.6,2013,Orlando 2013,0.486,0.497,0.601,0.424,0.379,0.398,0.363,0.326,0.335,85.3,0.283,0.821,18.7,17.2,105.9,1.9,0.119,114.3,1.2,0.525,129.5,0.7,0.235,107.6,0.343,0.197,0.249,0.445,0.052,0.16,0.212
30,Charlotte,101.3,0.463,0.154,0.295,23.2,111.7,0.528,0.153,0.307,19.9,2013,Charlotte 2013,0.463,0.503,0.552,0.339,0.384,0.366,0.392,0.334,0.347,81.0,0.297,0.79,17.0,15.7,105.0,4.5,0.159,126.7,2.1,0.589,141.7,2.4,0.344,120.4,0.388,0.178,0.25,0.427,0.04,0.145,0.185
31,Average,106.7,0.504,0.154,0.282,21.6,106.7,0.504,0.154,0.282,21.6,2014,Average 2014,0.504,0.508,0.608,0.391,0.398,0.395,0.39,0.358,0.366,88.7,0.284,0.804,18.5,16.9,107.0,3.7,0.141,125.4,1.9,0.59,139.4,1.7,0.268,118.2,0.361,0.187,0.217,0.405,0.062,0.173,0.235
32,San Antonio,110.6,0.539,0.151,0.25,19.1,102.2,0.484,0.146,0.26,18.2,2014,San Antonio 2014,0.539,0.508,0.649,0.424,0.41,0.416,0.403,0.399,0.4,94.3,0.247,0.827,15.6,13.0,117.7,4.2,0.136,131.0,2.3,0.563,151.0,1.8,0.248,120.3,0.357,0.192,0.214,0.406,0.074,0.163,0.237
33,LA Clippers,112.2,0.526,0.143,0.279,26.1,105.1,0.487,0.16,0.302,22.3,2014,LA Clippers 2014,0.526,0.51,0.677,0.393,0.415,0.407,0.405,0.331,0.354,92.8,0.287,0.778,18.6,16.5,109.9,5.4,0.175,130.3,3.0,0.643,149.0,2.4,0.332,120.8,0.347,0.145,0.246,0.39,0.081,0.181,0.263
