,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
131,Utah,109.6,0.529,0.15,0.258,21.5,105.8,0.496,0.132,0.242,19.6,2017,Utah 2017,0.529,0.524,0.627,0.417,0.382,0.401,0.386,0.373,0.377,94.1,0.265,0.849,16.0,15.4,101.2,3.0,0.1,133.7,1.5,0.5,145.1,1.4,0.168,125.2,0.363,0.182,0.154,0.335,0.088,0.213,0.301
132,Boston,111.6,0.528,0.137,0.244,22.3,108.8,0.506,0.144,0.278,22.6,2017,Boston 2017,0.528,0.53,0.608,0.415,0.411,0.413,0.405,0.353,0.365,97.0,0.246,0.809,14.8,14.1,102.8,2.9,0.141,122.3,1.9,0.583,142.5,1.0,0.272,113.1,0.355,0.148,0.134,0.281,0.084,0.28,0.364
133,Washington,111.3,0.532,0.145,0.27,20.2,109.4,0.527,0.157,0.272,21.4,2017,Washington 2017,0.532,0.518,0.615,0.424,0.442,0.434,0.349,0.392,0.38,93.8,0.278,0.78,19.6,16.9,113.1,4.3,0.17,128.2,2.3,0.651,143.2,2.0,0.329,120.9,0.362,0.17,0.208,0.378,0.071,0.189,0.26
134,Miami,108.2,0.516,0.142,0.27,17.7,106.9,0.498,0.143,0.267,22.1,2017,Miami 2017,0.516,0.521,0.61,0.412,0.386,0.4,0.401,0.356,0.371,90.2,0.281,0.806,18.9,16.3,113.7,3.4,0.141,125.4,1.8,0.592,140.7,1.6,0.269,118.8,0.351,0.199,0.159,0.358,0.092,0.2,0.292
135,Denver,113.2,0.532,0.15,0.3,21.6,112.4,0.533,0.121,0.236,19.5,2017,Denver 2017,0.532,0.531,0.604,0.425,0.396,0.412,0.383,0.374,0.375,95.5,0.306,0.786,22.2,19.6,108.9,2.7,0.157,119.1,1.3,0.563,130.2,1.4,0.324,115.3,0.402,0.162,0.135,0.297,0.061,0.24,0.301
136,Memphis,107.7,0.494,0.139,0.281,22.2,107.1,0.509,0.153,0.255,25.7,2017,Memphis 2017,0.494,0.52,0.565,0.404,0.383,0.394,0.408,0.347,0.36,90.8,0.286,0.824,19.4,17.7,106.1,1.9,0.115,118.0,1.2,0.492,129.0,0.7,0.206,111.7,0.358,0.186,0.17,0.356,0.059,0.228,0.287
137,Oklahoma City,108.8,0.503,0.153,0.312,22.1,108.3,0.515,0.141,0.245,21.7,2017,Oklahoma City 2017,0.503,0.529,0.602,0.402,0.386,0.394,0.355,0.323,0.331,90.1,0.31,0.765,18.7,18.1,100.0,3.1,0.187,116.5,1.4,0.62,126.5,1.6,0.379,112.7,0.414,0.164,0.155,0.318,0.07,0.198,0.268
138,Indiana,109.0,0.522,0.143,0.239,21.5,108.6,0.513,0.154,0.273,22.8,2017,Indiana 2017,0.522,0.507,0.611,0.442,0.416,0.428,0.413,0.38,0.389,94.9,0.242,0.825,15.8,13.5,114.9,2.3,0.133,119.9,1.2,0.536,127.6,1.1,0.25,117.0,0.314,0.205,0.229,0.434,0.07,0.182,0.252
139,Chicago,107.5,0.49,0.141,0.298,20.9,107.1,0.51,0.141,0.258,17.1,2017,Chicago 2017,0.49,0.51,0.593,0.42,0.384,0.4,0.401,0.32,0.344,88.2,0.301,0.778,20.2,18.0,109.7,3.4,0.163,122.8,2.2,0.626,144.1,1.3,0.305,114.1,0.34,0.2,0.226,0.426,0.071,0.163,0.234
140,Milwaukee,109.7,0.531,0.148,0.246,21.1,109.7,0.523,0.155,0.279,21.6,2017,Milwaukee 2017,0.531,0.532,0.624,0.394,0.39,0.392,0.395,0.369,0.377,93.2,0.251,0.801,17.4,15.2,111.8,4.0,0.154,130.1,1.9,0.6,142.7,2.0,0.296,123.7,0.427,0.177,0.134,0.311,0.08,0.181,0.262
141,Charlotte,109.3,0.504,0.119,0.23,22.7,109.6,0.529,0.136,0.236,16.6,2017,Charlotte 2017,0.504,0.517,0.596,0.409,0.389,0.398,0.375,0.355,0.358,94.8,0.236,0.831,14.8,12.7,113.8,2.2,0.131,119.9,1.1,0.486,131.2,1.2,0.254,117.4,0.33,0.168,0.189,0.357,0.044,0.269,0.313
142,Minnesota,111.1,0.514,0.148,0.299,22.9,111.9,0.538,0.148,0.273,21.1,2017,Minnesota 2017,0.514,0.515,0.625,0.421,0.406,0.413,0.39,0.345,0.358,92.4,0.308,0.801,22.2,19.2,112.4,2.8,0.138,123.3,1.7,0.565,136.3,1.0,0.271,115.7,0.371,0.185,0.219,0.404,0.063,0.162,0.225
143,Portland,110.4,0.521,0.139,0.26,21.5,111.5,0.514,0.132,0.265,24.4,2017,Portland 2017,0.521,0.522,0.574,0.432,0.428,0.43,0.371,0.382,0.379,94.7,0.27,0.814,17.8,16.6,104.9,2.8,0.132,123.9,1.4,0.533,136.1,1.3,0.268,117.4,0.363,0.159,0.184,0.343,0.062,0.232,0.294
144,Detroit,106.3,0.496,0.125,0.27,15.5,107.6,0.519,0.134,0.213,19.8,2017,Detroit 2017,0.496,0.503,0.615,0.418,0.424,0.421,0.378,0.328,0.339,88.5,0.277,0.782,18.7,17.4,105.3,3.0,0.163,120.0,1.6,0.577,137.6,1.5,0.327,114.3,0.301,0.241,0.214,0.455,0.052,0.191,0.243
145,Atlanta,105.2,0.508,0.161,0.269,21.5,106.7,0.511,0.156,0.269,18.2,2017,Atlanta 2017,0.508,0.525,0.598,0.363,0.423,0.398,0.387,0.338,0.35,89.5,0.282,0.795,19.9,17.5,111.1,1.4,0.151,110.8,1.3,0.56,128.2,0.2,0.288,103.4,0.388,0.147,0.186,0.333,0.069,0.21,0.279
146,New Orleans,105.6,0.506,0.131,0.213,19.4,107.4,0.51,0.14,0.259,17.9,2017,New Orleans 2017,0.506,0.517,0.604,0.426,0.383,0.405,0.378,0.349,0.356,92.2,0.21,0.813,14.6,12.5,114.6,2.0,0.145,116.1,1.1,0.544,127.8,1.0,0.276,112.6,0.345,0.195,0.181,0.375,0.067,0.212,0.28
147,Dallas,105.1,0.506,0.128,0.197,17.9,108.6,0.532,0.161,0.253,21.8,2017,Dallas 2017,0.506,0.506,0.615,0.443,0.404,0.42,0.365,0.356,0.358,93.3,0.198,0.865,11.4,9.8,114.7,1.2,0.098,113.4,0.6,0.423,117.5,0.5,0.182,111.9,0.255,0.169,0.236,0.405,0.072,0.269,0.34
148,Sacramento,107.1,0.519,0.154,0.241,22.2,111.4,0.53,0.146,0.263,22.7,2017,Sacramento 2017,0.519,0.516,0.613,0.396,0.407,0.402,0.418,0.373,0.385,93.3,0.244,0.821,15.8,14.1,109.8,1.8,0.134,114.3,1.3,0.566,127.8,0.5,0.25,107.3,0.349,0.198,0.189,0.388,0.067,0.196,0.263
149,New York,107.7,0.498,0.143,0.292,18.7,112.0,0.514,0.132,0.291,21.6,2017,New York 2017,0.498,0.513,0.572,0.414,0.425,0.42,0.426,0.331,0.354,90.9,0.287,0.794,19.6,18.7,100.8,2.0,0.146,114.4,1.0,0.578,121.5,1.2,0.295,112.6,0.344,0.176,0.225,0.401,0.062,0.193,0.255
150,Phoenix,106.5,0.494,0.154,0.288,22.9,112.2,0.527,0.148,0.269,26.4,2017,Phoenix 2017,0.494,0.515,0.603,0.414,0.38,0.396,0.324,0.343,0.337,86.2,0.293,0.752,22.8,19.6,112.5,3.9,0.191,122.9,1.9,0.621,136.2,1.8,0.403,116.5,0.365,0.195,0.206,0.401,0.067,0.167,0.234
151,LA Lakers,106.4,0.504,0.154,0.273,19.4,112.4,0.542,0.147,0.266,21.5,2017,LA Lakers 2017,0.504,0.52,0.604,0.39,0.392,0.391,0.376,0.346,0.354,87.1,0.282,0.773,19.5,17.1,111.9,4.1,0.175,126.5,2.4,0.639,146.8,1.6,0.356,116.8,0.363,0.205,0.157,0.362,0.068,0.208,0.275
152,Orlando,104.9,0.493,0.137,0.257,18.7,110.9,0.523,0.134,0.259,20.2,2017,Orlando 2017,0.493,0.512,0.602,0.412,0.404,0.408,0.302,0.343,0.335,88.7,0.244,0.789,14.8,14.0,102.4,2.9,0.167,117.8,1.7,0.623,135.4,1.3,0.342,111.7,0.328,0.208,0.193,0.401,0.055,0.216,0.27
153,Philadelphia,102.8,0.502,0.17,0.258,19.8,109.4,0.515,0.153,0.279,23.6,2017,Philadelphia 2017,0.502,0.528,0.606,0.385,0.357,0.372,0.409,0.33,0.344,86.7,0.265,0.801,17.6,15.5,111.9,2.5,0.154,117.4,1.6,0.567,133.2,0.7,0.302,108.6,0.378,0.168,0.132,0.3,0.057,0.265,0.322
154,Brooklyn,103.6,0.508,0.164,0.223,22.4,111.1,0.517,0.132,0.269,21.5,2017,Brooklyn 2017,0.508,0.532,0.588,0.412,0.377,0.4,0.378,0.333,0.343,89.2,0.224,0.799,15.4,13.5,112.2,2.4,0.164,117.4,1.5,0.598,137.4,0.9,0.331,110.9,0.383,0.187,0.091,0.278,0.076,0.262,0.339
155,Average,108.4,0.524,0.146,0.254,19.4,108.4,0.524,0.146,0.254,19.4,2018,Average 2018,0.524,0.527,0.631,0.399,0.404,0.401,0.393,0.359,0.367,93.4,0.258,0.8,18.1,16.1,110.1,2.8,0.153,120.7,1.6,0.612,133.7,1.2,0.288,114.5,0.345,0.188,0.156,0.344,0.07,0.241,0.311
156,Houston,114.8,0.557,0.141,0.241,23.7,105.8,0.524,0.15,0.238,17.1,2018,Houston 2018,0.556,0.552,0.646,0.365,0.465,0.403,0.398,0.359,0.369,100.1,0.262,0.804,16.2,14.3,110.9,3.9,0.158,129.1,1.8,0.562,137.7,2.0,0.287,125.6,0.35,0.115,0.068,0.182,0.113,0.354,0.467
157,Toronto,113.5,0.541,0.137,0.263,20.2,105.6,0.504,0.146,0.259,21.1,2018,Toronto 2018,0.541,0.535,0.648,0.423,0.41,0.418,0.384,0.356,0.364,97.7,0.27,0.802,19.5,16.5,115.5,3.4,0.152,123.6,1.6,0.575,134.9,1.6,0.29,118.3,0.354,0.183,0.115,0.298,0.09,0.258,0.348
158,Golden State,113.9,0.575,0.153,0.229,19.6,106.7,0.506,0.144,0.275,18.5,2018,Golden State 2018,0.574,0.521,0.684,0.462,0.467,0.465,0.398,0.4,0.4,101.5,0.227,0.759,18.6,16.3,111.1,3.8,0.203,122.5,1.5,0.62,132.2,2.3,0.415,119.7,0.318,0.174,0.195,0.369,0.056,0.258,0.313
159,Philadelphia,109.6,0.542,0.165,0.277,20.1,104.4,0.495,0.143,0.25,21.9,2018,Philadelphia 2018,0.541,0.525,0.673,0.383,0.423,0.4,0.398,0.371,0.376,93.9,0.276,0.781,21.8,18.7,113.0,3.0,0.165,120.3,1.6,0.633,132.0,1.4,0.297,114.8,0.334,0.2,0.144,0.345,0.051,0.27,0.321
160,Utah,107.9,0.53,0.154,0.244,20.3,103.6,0.509,0.155,0.233,19.0,2018,Utah 2018,0.529,0.532,0.645,0.372,0.401,0.385,0.417,0.351,0.371,92.9,0.25,0.819,16.7,14.6,112.0,3.2,0.143,125.7,1.6,0.585,131.7,1.6,0.247,122.5,0.35,0.179,0.142,0.321,0.098,0.23,0.328
161,Boston,107.5,0.521,0.143,0.244,18.8,103.4,0.497,0.147,0.251,19.0,2018,Boston 2018,0.521,0.526,0.595,0.376,0.435,0.403,0.413,0.374,0.383,94.0,0.246,0.811,16.9,15.2,108.4,2.0,0.141,115.4,1.3,0.611,125.4,0.6,0.251,108.9,0.326,0.189,0.155,0.344,0.076,0.254,0.33
162,Oklahoma City,110.2,0.518,0.142,0.304,19.7,107.0,0.53,0.165,0.258,19.4,2018,Oklahoma City 2018,0.518,0.533,0.618,0.394,0.381,0.386,0.377,0.357,0.362,93.0,0.301,0.766,20.7,19.0,105.2,3.0,0.182,116.8,2.0,0.648,130.5,1.2,0.344,112.2,0.369,0.134,0.185,0.319,0.08,0.233,0.313
163,Minnesota,113.3,0.526,0.129,0.273,22.8,110.7,0.541,0.156,0.266,18.7,2018,Minnesota 2018,0.526,0.513,0.663,0.438,0.406,0.423,0.397,0.352,0.363,96.6,0.278,0.818,20.8,17.4,117.3,3.1,0.126,128.4,2.1,0.582,143.4,1.0,0.219,117.6,0.332,0.24,0.19,0.43,0.058,0.18,0.238
164,San Antonio,107.7,0.509,0.136,0.266,18.9,105.2,0.513,0.146,0.245,17.0,2018,San Antonio 2018,0.508,0.512,0.635,0.411,0.4,0.406,0.4,0.342,0.356,91.6,0.27,0.825,19.2,15.8,118.9,2.4,0.121,122.5,1.4,0.522,135.1,0.9,0.215,114.3,0.312,0.236,0.19,0.426,0.066,0.196,0.262
165,Portland,108.4,0.511,0.138,0.268,19.2,106.3,0.507,0.131,0.241,19.3,2018,Portland 2018,0.511,0.526,0.582,0.405,0.422,0.413,0.378,0.364,0.366,93.5,0.271,0.824,19.5,16.9,112.0,1.9,0.119,117.7,1.0,0.567,123.9,0.8,0.206,112.5,0.346,0.183,0.166,0.349,0.056,0.248,0.305
166,New Orleans,109.3,0.547,0.146,0.227,18.4,107.2,0.513,0.141,0.258,17.4,2018,New Orleans 2018,0.546,0.529,0.652,0.459,0.403,0.436,0.404,0.357,0.369,96.2,0.228,0.807,18.1,14.1,126.1,2.7,0.155,121.5,1.4,0.593,131.0,1.3,0.294,117.6,0.36,0.201,0.14,0.341,0.077,0.221,0.298
167,Indiana,109.3,0.528,0.138,0.256,17.4,107.4,0.528,0.162,0.264,17.3,2018,Indiana 2018,0.528,0.521,0.624,0.42,0.431,0.426,0.427,0.36,0.376,93.3,0.255,0.796,16.6,15.1,107.1,4.1,0.161,128.1,2.3,0.67,136.9,1.7,0.283,121.6,0.349,0.163,0.227,0.39,0.061,0.2,0.262
168,Denver,112.1,0.539,0.153,0.288,19.8,110.5,0.542,0.141,0.249,17.3,2018,Denver 2018,0.538,0.532,0.634,0.413,0.405,0.41,0.419,0.365,0.374,94.4,0.295,0.789,22.5,18.9,116.0,3.8,0.156,127.8,2.1,0.64,142.4,1.7,0.293,120.9,0.361,0.209,0.101,0.31,0.059,0.27,0.329
169,Washington,108.6,0.527,0.149,0.262,19.6,107.8,0.523,0.154,0.254,21.4,2018,Washington 2018,0.526,0.514,0.641,0.428,0.414,0.421,0.379,0.377,0.377,93.2,0.267,0.798,18.5,17.0,106.3,3.4,0.153,125.3,2.0,0.638,139.6,1.4,0.282,118.4,0.307,0.208,0.199,0.407,0.06,0.226,0.285
170,Cleveland,112.7,0.549,0.139,0.233,21.5,112.0,0.545,0.136,0.253,16.6,2018,Cleveland 2018,0.548,0.535,0.684,0.366,0.405,0.386,0.408,0.361,0.374,98.9,0.243,0.793,16.2,14.8,107.5,3.3,0.166,123.7,1.6,0.594,140.7,1.6,0.345,116.1,0.35,0.15,0.151,0.302,0.096,0.252,0.348
171,Miami,107.0,0.524,0.149,0.248,17.2,106.4,0.511,0.146,0.243,21.8,2018,Miami 2018,0.523,0.532,0.636,0.386,0.375,0.381,0.389,0.359,0.367,93.3,0.253,0.82,15.2,14.3,103.8,2.3,0.139,117.5,1.4,0.571,131.8,0.9,0.258,110.4,0.348,0.184,0.136,0.319,0.091,0.242,0.332
172,Charlotte,109.3,0.512,0.129,0.255,23.4,109.1,0.536,0.138,0.225,16.4,2018,Charlotte 2018,0.511,0.522,0.612,0.407,0.365,0.387,0.369,0.38,0.378,93.2,0.263,0.8,19.6,17.3,110.3,3.5,0.145,126.6,1.5,0.593,134.8,2.1,0.278,124.2,0.345,0.198,0.175,0.373,0.047,0.235,0.282
173,LA Clippers,109.8,0.527,0.15,0.274,22.3,110.0,0.524,0.141,0.268,20.3,2018,LA Clippers 2018,0.527,0.54,0.631,0.395,0.38,0.389,0.339,0.36,0.355,94.1,0.294,0.796,21.6,17.9,118.6,1.8,0.156,113.3,1.1,0.615,123.8,0.7,0.304,109.4,0.413,0.182,0.115,0.297,0.068,0.222,0.29
174,Detroit,107.2,0.514,0.138,0.255,16.9,107.4,0.528,0.154,0.247,17.3,2018,Detroit 2018,0.514,0.523,0.617,0.371,0.404,0.385,0.385,0.376,0.378,91.1,0.256,0.781,19.4,17.7,106.9,3.3,0.162,122.2,1.8,0.596,139.0,1.5,0.32,115.7,0.327,0.214,0.152,0.366,0.077,0.231,0.307
175,Milwaukee,109.3,0.534,0.142,0.23,22.0,109.6,0.53,0.161,0.277,22.0,2018,Milwaukee 2018,0.533,0.531,0.645,0.412,0.425,0.418,0.406,0.343,0.36,95.9,0.235,0.78,16.1,14.6,108.8,3.4,0.184,121.3,2.1,0.687,135.4,1.4,0.351,114.9,0.383,0.175,0.17,0.345,0.075,0.198,0.272
176,LA Lakers,106.5,0.521,0.155,0.265,19.1,107.7,0.517,0.14,0.257,19.1,2018,LA Lakers 2018,0.521,0.537,0.637,0.374,0.371,0.373,0.402,0.343,0.353,90.0,0.267,0.768,21.3,17.7,117.5,3.1,0.186,118.5,1.9,0.695,137.1,1.2,0.361,111.2,0.397,0.174,0.126,0.3,0.054,0.248,0.303
177,Dallas,105.9,0.516,0.127,0.208,16.6,109.1,0.537,0.142,0.237,19.3,2018,Dallas 2018,0.515,0.523,0.621,0.398,0.4,0.399,0.418,0.353,0.365,93.7,0.216,0.837,15.0,13.4,110.0,1.4,0.119,113.6,1.3,0.538,133.0,0.0,0.218,103.4,0.299,0.17,0.175,0.345,0.065,0.291,0.355
178,Brooklyn,106.8,0.516,0.151,0.243,19.9,110.7,0.518,0.124,0.259,20.2,2018,Brooklyn 2018,0.516,0.534,0.618,0.385,0.356,0.376,0.365,0.357,0.359,93.0,0.247,0.808,17.1,15.2,110.4,1.7,0.143,113.7,1.2,0.671,131.3,0.4,0.28,105.8,0.332,0.197,0.09,0.286,0.084,0.298,0.381
179,New York,106.9,0.515,0.15,0.277,17.0,111.0,0.527,0.135,0.259,20.9,2018,New York 2018,0.515,0.513,0.63,0.432,0.4,0.416,0.408,0.349,0.361,91.3,0.274,0.806,19.8,17.6,109.9,2.6,0.137,119.6,1.3,0.619,131.0,1.2,0.265,114.5,0.326,0.215,0.214,0.428,0.052,0.194,0.246
180,Orlando,105.3,0.514,0.148,0.234,18.1,110.3,0.529,0.145,0.272,18.7,2018,Orlando 2018,0.514,0.524,0.656,0.368,0.389,0.377,0.361,0.352,0.354,91.4,0.231,0.811,13.7,13.5,99.8,2.8,0.151,120.3,1.6,0.607,131.6,1.3,0.299,114.8,0.33,0.207,0.146,0.352,0.063,0.255,0.317
181,Memphis,104.5,0.504,0.158,0.258,20.3,110.9,0.531,0.154,0.268,25.8,2018,Memphis 2018,0.504,0.532,0.597,0.365,0.398,0.381,0.354,0.359,0.358,89.2,0.266,0.813,16.7,15.4,106.1,2.3,0.14,119.2,1.4,0.608,129.7,0.7,0.271,111.8,0.379,0.173,0.158,0.331,0.06,0.23,0.29
182,Atlanta,104.5,0.514,0.159,0.246,18.2,111.1,0.54,0.154,0.275,18.5,2018,Atlanta 2018,0.514,0.531,0.612,0.351,0.413,0.383,0.43,0.34,0.364,90.0,0.25,0.817,16.4,14.7,109.2,2.6,0.137,121.2,2.0,0.578,146.1,0.6,0.264,107.4,0.34,0.164,0.159,0.323,0.092,0.245,0.337
183,Chicago,103.8,0.498,0.143,0.241,16.3,111.2,0.544,0.136,0.221,18.7,2018,Chicago 2018,0.498,0.524,0.59,0.384,0.39,0.386,0.381,0.354,0.359,89.8,0.243,0.795,14.8,15.3,93.7,1.9,0.159,114.6,1.1,0.657,122.6,0.7,0.287,108.8,0.323,0.186,0.164,0.35,0.065,0.261,0.327
184,Sacramento,103.5,0.505,0.145,0.245,14.1,111.2,0.544,0.15,0.253,20.2,2018,Sacramento 2018,0.505,0.509,0.622,0.388,0.396,0.392,0.412,0.372,0.382,88.5,0.247,0.814,16.3,15.2,104.9,2.6,0.14,120.5,1.5,0.588,130.4,1.0,0.262,114.7,0.302,0.241,0.198,0.439,0.059,0.2,0.259
185,Phoenix,103.1,0.497,0.158,0.26,20.3,112.9,0.535,0.133,0.262,21.4,2018,Phoenix 2018,0.497,0.53,0.598,0.392,0.371,0.383,0.364,0.333,0.34,87.9,0.267,0.781,18.7,17.6,103.6,1.7,0.171,111.9,1.5,0.674,131.5,0.3,0.342,105.3,0.37,0.198,0.139,0.337,0.067,0.226,0.293
186,Average,110.6,0.527,0.14,0.259,19.9,110.6,0.527,0.14,0.259,19.9,2019,Average 2019,0.527,0.531,0.629,0.403,0.405,0.404,0.383,0.353,0.36,94.7,0.263,0.798,19.1,17.0,109.6,2.6,0.153,122.7,1.5,0.639,134.2,1.1,0.288,117.4,0.361,0.185,0.122,0.307,0.078,0.254,0.331
187,Milwaukee,114.9,0.554,0.132,0.238,19.9,105.8,0.507,0.13,0.229,16.1,2019,Milwaukee 2019,0.554,0.547,0.667,0.386,0.388,0.386,0.378,0.352,0.357,100.3,0.238,0.782,16.3,15.2,105.0,3.7,0.185,126.2,1.7,0.662,138.1,2.0,0.342,122.2,0.406,0.134,0.077,0.21,0.079,0.305,0.384
188,Golden State,116.5,0.571,0.14,0.246,18.7,108.7,0.509,0.133,0.26,20.2,2019,Golden State 2019,0.571,0.522,0.682,0.438,0.478,0.459,0.428,0.382,0.392,102.2,0.243,0.8,17.2,15.1,111.2,3.5,0.159,128.5,1.5,0.586,140.4,2.0,0.308,124.9,0.305,0.16,0.174,0.333,0.077,0.285,0.362
189,Utah,111.4,0.542,0.15,0.262,22.0,104.7,0.506,0.137,0.227,18.6,2019,Utah 2019,0.543,0.543,0.651,0.361,0.414,0.379,0.381,0.357,0.364,95.9,0.272,0.805,20.7,18.0,112.7,2.4,0.142,123.2,1.7,0.613,136.9,0.7,0.248,115.2,0.393,0.164,0.083,0.247,0.111,0.249,0.36
190,Toronto,113.5,0.546,0.137,0.246,20.0,107.3,0.511,0.15,0.263,18.8,2019,Toronto 2019,0.546,0.532,0.641,0.433,0.439,0.435,0.427,0.346,0.37,96.4,0.25,0.776,19.3,16.3,116.4,4.7,0.182,132.2,2.1,0.68,140.2,2.7,0.342,129.1,0.355,0.187,0.11,0.298,0.102,0.245,0.348
191,Houston,115.5,0.545,0.134,0.254,22.1,110.8,0.526,0.153,0.288,20.8,2019,Houston 2019,0.544,0.546,0.639,0.396,0.413,0.4,0.373,0.354,0.359,100.5,0.267,0.815,15.6,14.8,103.4,2.8,0.142,124.6,1.3,0.577,130.6,1.3,0.262,120.7,0.333,0.141,0.04,0.181,0.124,0.361,0.486
192,Portland,114.8,0.531,0.136,0.296,21.2,110.4,0.52,0.124,0.245,19.6,2019,Portland 2019,0.531,0.534,0.605,0.416,0.443,0.429,0.356,0.362,0.361,97.6,0.298,0.819,22.0,19.5,109.5,2.6,0.121,127.3,1.4,0.606,140.9,1.0,0.216,119.1,0.392,0.152,0.14,0.292,0.053,0.264,0.316
193,Boston,112.1,0.537,0.128,0.244,17.3,107.9,0.519,0.152,0.26,20.0,2019,Boston 2019,0.537,0.524,0.643,0.428,0.432,0.429,0.34,0.376,0.368,97.0,0.234,0.794,16.7,14.7,110.9,3.4,0.161,127.6,2.1,0.701,140.9,1.1,0.28,117.4,0.315,0.181,0.145,0.326,0.08,0.279,0.359
194,Oklahoma City,110.5,0.518,0.133,0.285,19.1,106.7,0.526,0.161,0.248,20.6,2019,Oklahoma City 2019,0.518,0.536,0.622,0.379,0.368,0.375,0.375,0.345,0.354,92.8,0.296,0.759,21.4,19.7,105.4,2.6,0.194,117.5,1.6,0.683,130.2,1.1,0.358,113.2,0.391,0.168,0.122,0.29,0.088,0.231,0.32
195,Denver,112.9,0.531,0.138,0.297,17.7,109.3,0.524,0.137,0.247,19.5,2019,Denver 2019,0.531,0.527,0.632,0.439,0.405,0.429,0.396,0.346,0.356,95.3,0.308,0.792,21.2,19.1,107.7,2.4,0.152,121.3,1.4,0.646,129.6,1.1,0.277,117.3,0.353,0.224,0.1,0.323,0.069,0.255,0.324
196,Indiana,110.0,0.531,0.139,0.255,18.4,107.1,0.522,0.162,0.266,18.2,2019,Indiana 2019,0.531,0.527,0.621,0.422,0.405,0.413,0.428,0.362,0.379,93.8,0.255,0.805,19.3,15.4,122.4,3.0,0.15,123.9,1.9,0.658,133.9,1.0,0.255,116.7,0.382,0.17,0.18,0.349,0.068,0.2,0.268
197,Philadelphia,112.2,0.535,0.148,0.268,24.4,109.6,0.515,0.124,0.244,20.5,2019,Philadelphia 2019,0.535,0.527,0.658,0.407,0.391,0.4,0.371,0.364,0.366,95.7,0.274,0.783,22.8,19.3,115.0,2.8,0.163,122.7,1.6,0.671,136.2,1.2,0.31,117.6,0.359,0.194,0.137,0.33,0.062,0.249,0.311
198,San Antonio,113.5,0.538,0.12,0.228,19.4,111.5,0.532,0.124,0.242,17.4,2019,San Antonio 2019,0.538,0.5,0.656,0.456,0.427,0.442,0.465,0.384,0.401,100.0,0.227,0.839,17.0,14.8,112.3,2.5,0.115,129.4,1.0,0.548,136.1,1.5,0.218,126.9,0.265,0.249,0.22,0.469,0.055,0.211,0.266
199,Orlando,109.4,0.523,0.135,0.248,16.8,108.4,0.519,0.132,0.228,18.5,2019,Orlando 2019,0.523,0.521,0.638,0.412,0.399,0.406,0.386,0.357,0.363,93.8,0.254,0.816,18.4,16.2,111.2,2.2,0.135,124.1,1.2,0.583,136.4,1.0,0.259,118.1,0.312,0.183,0.164,0.346,0.07,0.272,0.342
200,LA Clippers,112.4,0.533,0.141,0.251,25.9,111.7,0.518,0.127,0.265,22.6,2019,LA Clippers 2019,0.532,0.528,0.604,0.412,0.4,0.408,0.419,0.389,0.396,97.1,0.248,0.801,19.0,16.5,112.6,3.0,0.152,124.1,1.4,0.667,135.3,1.5,0.297,119.7,0.386,0.206,0.137,0.344,0.062,0.208,0.27
201,Detroit,109.5,0.514,0.142,0.275,19.7,109.3,0.529,0.144,0.241,21.0,2019,Detroit 2019,0.514,0.534,0.61,0.369,0.419,0.387,0.386,0.341,0.354,92.9,0.277,0.807,19.2,18.5,100.8,2.3,0.135,122.4,1.3,0.582,135.0,1.1,0.261,117.3,0.352,0.187,0.095,0.282,0.101,0.265,0.366
202,Brooklyn,109.7,0.524,0.147,0.269,21.3,109.9,0.516,0.132,0.268,19.3,2019,Brooklyn 2019,0.524,0.538,0.612,0.374,0.397,0.381,0.383,0.354,0.36,94.9,0.272,0.804,17.9,17.0,102.2,2.0,0.146,117.3,1.0,0.64,125.6,1.0,0.288,113.8,0.374,0.181,0.075,0.256,0.075,0.295,0.37
203,Miami,107.6,0.516,0.151,0.281,17.3,107.8,0.512,0.144,0.258,20.3,2019,Miami 2019,0.516,0.532,0.626,0.386,0.358,0.377,0.376,0.344,0.353,91.0,0.285,0.804,20.5,19.0,104.2,1.5,0.14,114.4,1.1,0.561,128.9,0.4,0.26,107.3,0.359,0.205,0.096,0.302,0.095,0.244,0.339
