,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Rim,Short Mid,Long Mid,All Mid,Corner Three,Non Corner,All Three,Pts/Poss,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play
45,Dallas,110.7,0.528,0.142,0.262,20.3,108.4,0.518,0.168,0.295,23.2,2014,Dallas 2014,0.528,0.501,0.635,0.414,0.43,0.42200000000000004,0.425,0.379,0.389,110.7,94.9,0.26899999999999996,0.8320000000000001,17.0,15.2,109.5,3.5,0.11199999999999999,130.6,1.8,0.527,137.7,1.6,0.19,125.6
46,Washington,106.0,0.509,0.154,0.273,18.4,104.6,0.506,0.16899999999999998,0.272,22.0,2014,Washington 2014,0.509,0.504,0.643,0.379,0.379,0.379,0.39899999999999997,0.382,0.387,106.0,86.4,0.282,0.807,15.8,13.6,114.1,5.0,0.152,132.9,2.5,0.619,147.3,2.5,0.28800000000000003,125.9
47,Charlotte,103.9,0.48200000000000004,0.133,0.255,22.1,104.2,0.49200000000000005,0.14300000000000002,0.257,18.5,2014,Charlotte 2014,0.48200000000000004,0.501,0.585,0.41700000000000004,0.37,0.38799999999999996,0.375,0.35200000000000004,0.35700000000000004,103.9,87.8,0.258,0.8390000000000001,14.4,12.5,112.4,2.6,0.114,119.5,1.5,0.589,135.5,1.0,0.204,110.9
48,Brooklyn,106.9,0.517,0.156,0.244,23.7,107.4,0.51,0.171,0.3,23.5,2014,Brooklyn 2014,0.517,0.506,0.605,0.428,0.409,0.418,0.40299999999999997,0.371,0.38,106.9,93.0,0.251,0.8420000000000001,13.8,13.6,99.5,2.5,0.113,120.6,1.8,0.48,138.0,0.6,0.207,108.0
49,Atlanta,105.8,0.516,0.161,0.244,20.7,106.4,0.513,0.16,0.278,19.9,2014,Atlanta 2014,0.516,0.511,0.616,0.415,0.40700000000000003,0.41100000000000003,0.391,0.35700000000000004,0.366,105.8,90.0,0.24600000000000002,0.8170000000000001,14.7,12.5,116.0,3.3,0.141,122.7,1.7,0.55,132.9,1.5,0.272,116.8
50,New York,107.9,0.509,0.142,0.273,18.9,109.0,0.517,0.159,0.28300000000000003,24.3,2014,New York 2014,0.509,0.506,0.595,0.384,0.413,0.40399999999999997,0.397,0.379,0.38299999999999995,107.9,91.2,0.276,0.8220000000000001,19.0,16.7,110.9,2.4,0.122,118.7,1.6,0.599,129.4,0.8,0.21100000000000002,112.4
51,Denver,106.0,0.5,0.162,0.299,22.1,108.0,0.501,0.145,0.285,23.1,2014,Denver 2014,0.5,0.517,0.609,0.34700000000000003,0.374,0.361,0.42100000000000004,0.345,0.364,106.0,86.5,0.305,0.772,18.8,18.3,100.0,4.5,0.171,125.3,2.2,0.625,146.0,2.2,0.358,117.3
52,Cleveland,104.8,0.483,0.15,0.302,20.3,107.8,0.509,0.147,0.275,19.9,2014,Cleveland 2014,0.483,0.5,0.56,0.395,0.402,0.39899999999999997,0.38,0.366,0.37,104.8,86.6,0.307,0.816,15.8,16.8,91.6,3.5,0.128,125.1,1.5,0.5429999999999999,137.0,1.8,0.244,118.6
53,New Orleans,107.1,0.499,0.14800000000000002,0.29,21.9,110.2,0.518,0.155,0.29100000000000004,25.1,2014,New Orleans 2014,0.499,0.51,0.569,0.389,0.41200000000000003,0.401,0.375,0.391,0.387,107.1,88.8,0.285,0.8079999999999999,20.9,17.9,113.0,3.6,0.129,126.2,1.7,0.54,133.1,2.0,0.249,123.8
54,Sacramento,105.6,0.485,0.161,0.307,25.4,109.3,0.518,0.14300000000000002,0.261,23.6,2014,Sacramento 2014,0.485,0.498,0.621,0.384,0.391,0.387,0.36200000000000004,0.33,0.337,105.6,85.7,0.31,0.799,22.9,20.2,109.1,3.4,0.136,124.8,1.9,0.629,137.0,1.5,0.255,118.2
55,Detroit,106.2,0.486,0.153,0.335,19.9,110.3,0.523,0.155,0.294,21.9,2014,Detroit 2014,0.486,0.519,0.611,0.35200000000000004,0.35200000000000004,0.35200000000000004,0.396,0.304,0.32899999999999996,106.2,84.0,0.336,0.757,23.6,22.6,100.1,4.3,0.172,124.0,2.4,0.68,139.8,1.9,0.33799999999999997,115.0
56,Boston,102.3,0.47700000000000004,0.16399999999999998,0.304,19.1,107.9,0.508,0.151,0.282,23.0,2014,Boston 2014,0.47700000000000004,0.503,0.581,0.361,0.413,0.39299999999999996,0.384,0.318,0.335,102.3,83.7,0.299,0.805,18.7,17.2,106.3,2.9,0.138,117.2,1.6,0.573,131.9,1.4,0.281,110.9
57,Orlando,101.8,0.489,0.158,0.253,19.1,107.8,0.506,0.146,0.275,20.9,2014,Orlando 2014,0.489,0.501,0.581,0.39299999999999996,0.408,0.402,0.36,0.36,0.36,101.8,86.1,0.252,0.8170000000000001,16.9,15.1,109.2,2.4,0.129,117.8,1.4,0.568,129.6,1.0,0.237,111.6
58,LA Lakers,104.0,0.506,0.152,0.226,19.8,110.8,0.515,0.142,0.31,19.2,2014,LA Lakers 2014,0.506,0.505,0.613,0.385,0.381,0.38299999999999995,0.40700000000000003,0.379,0.386,104.0,89.6,0.228,0.813,14.9,13.9,105.1,3.1,0.14,123.1,1.9,0.628,140.7,1.3,0.27699999999999997,114.9
59,Utah,102.9,0.48700000000000004,0.159,0.28,20.1,112.2,0.523,0.136,0.27699999999999997,23.0,2014,Utah 2014,0.48700000000000004,0.504,0.62,0.373,0.37,0.371,0.39399999999999996,0.33799999999999997,0.35200000000000004,102.9,84.2,0.282,0.8170000000000001,19.6,16.4,116.4,3.3,0.124,126.6,1.6,0.595,138.6,1.7,0.235,120.4
60,Milwaukee,101.9,0.48,0.163,0.3,20.2,112.0,0.524,0.153,0.306,22.8,2014,Milwaukee 2014,0.48,0.509,0.563,0.364,0.392,0.38,0.365,0.35600000000000004,0.358,101.9,83.7,0.3,0.8009999999999999,18.1,17.8,98.5,3.3,0.139,121.9,1.8,0.628,139.9,1.5,0.294,113.4
61,Philadelphia,99.4,0.47700000000000004,0.16899999999999998,0.28,18.6,111.1,0.529,0.16899999999999998,0.304,24.9,2014,Philadelphia 2014,0.478,0.524,0.568,0.365,0.376,0.37,0.33,0.316,0.319,99.4,82.0,0.272,0.762,18.3,17.6,100.7,3.0,0.182,115.5,2.4,0.6709999999999999,140.1,0.6,0.377,103.0
62,Average,105.8,0.498,0.152,0.28,20.6,105.8,0.498,0.152,0.28,20.6,2015,Average 2015,0.498,0.503,0.6,0.392,0.39799999999999996,0.395,0.386,0.34600000000000003,0.35700000000000004,105.8,88.0,0.284,0.805,18.5,16.7,107.5,3.4,0.14,123.4,1.8,0.575,137.4,1.5,0.262,116.4
63,Golden State,112.5,0.546,0.146,0.261,18.2,100.4,0.469,0.165,0.284,21.7,2015,Golden State 2015,0.546,0.506,0.6509999999999999,0.39899999999999997,0.405,0.402,0.45399999999999996,0.39299999999999996,0.40700000000000003,112.5,94.6,0.267,0.767,18.9,17.3,106.2,5.4,0.183,130.6,2.4,0.624,140.2,2.9,0.33299999999999996,126.5
64,LA Clippers,113.2,0.536,0.128,0.262,21.9,105.4,0.49700000000000005,0.151,0.26899999999999996,22.9,2015,LA Clippers 2015,0.536,0.5,0.653,0.42200000000000004,0.442,0.435,0.391,0.373,0.37799999999999995,113.2,95.5,0.278,0.799,18.9,16.2,114.6,3.8,0.14800000000000002,126.6,1.5,0.536,134.3,2.1,0.276,122.8
65,San Antonio,108.8,0.522,0.14800000000000002,0.258,20.2,101.8,0.486,0.152,0.259,19.3,2015,San Antonio 2015,0.522,0.5,0.622,0.445,0.39899999999999997,0.425,0.425,0.35100000000000003,0.374,108.8,95.2,0.263,0.836,13.5,13.0,102.7,1.9,0.12300000000000001,113.3,1.4,0.498,126.5,0.6,0.21899999999999997,106.3
66,Atlanta,109.4,0.53,0.15,0.252,20.3,103.2,0.495,0.171,0.28800000000000003,18.5,2015,Atlanta 2015,0.53,0.51,0.606,0.396,0.43799999999999994,0.41700000000000004,0.429,0.37,0.387,109.4,93.0,0.257,0.813,14.8,12.8,113.1,3.7,0.147,125.1,2.1,0.58,139.0,1.5,0.255,117.0
67,Cleveland,111.4,0.522,0.153,0.301,21.8,106.0,0.504,0.145,0.27399999999999997,17.6,2015,Cleveland 2015,0.522,0.512,0.618,0.37200000000000005,0.42700000000000005,0.39799999999999996,0.374,0.37200000000000005,0.373,111.4,92.6,0.316,0.802,18.6,17.7,102.2,3.9,0.145,126.4,2.0,0.579,141.1,1.9,0.27899999999999997,119.0
68,Portland,108.9,0.512,0.142,0.27,18.3,104.2,0.48,0.127,0.261,18.0,2015,Portland 2015,0.512,0.499,0.623,0.415,0.402,0.408,0.38799999999999996,0.359,0.36700000000000005,108.9,92.1,0.275,0.8140000000000001,20.2,16.9,116.5,1.9,0.13,113.9,1.4,0.594,134.0,0.5,0.23800000000000002,104.7
69,Houston,107.6,0.516,0.171,0.294,22.5,103.7,0.49,0.16899999999999998,0.302,20.8,2015,Houston 2015,0.516,0.525,0.603,0.4,0.32799999999999996,0.376,0.395,0.33399999999999996,0.355,107.6,88.5,0.287,0.759,16.7,16.4,99.2,4.9,0.193,121.7,2.7,0.669,137.1,2.2,0.371,114.0
70,Memphis,105.9,0.491,0.14300000000000002,0.27699999999999997,21.4,102.1,0.494,0.16399999999999998,0.27,18.4,2015,Memphis 2015,0.491,0.494,0.609,0.40700000000000003,0.389,0.39799999999999996,0.387,0.33299999999999996,0.348,105.9,88.4,0.275,0.821,17.2,15.9,105.7,3.5,0.12,128.8,2.1,0.536,139.5,1.3,0.19899999999999998,119.8
71,Toronto,111.3,0.511,0.138,0.28600000000000003,23.2,107.8,0.508,0.156,0.3,20.8,2015,Toronto 2015,0.511,0.5,0.622,0.43700000000000006,0.387,0.413,0.40399999999999997,0.337,0.35600000000000004,111.3,93.3,0.3,0.818,20.2,16.9,116.5,2.9,0.13,122.2,1.6,0.545,132.9,1.3,0.252,116.5
